a	あ
ba	ば
bb	っb
be	べ
bi	び
bo	ぼ
bu	ぶ
bya	びゃ
bye	びぇ
byi	びぃ
byo	びょ
byu	びゅ
ca	か
cc	っc
ce	せ
cha	ちゃ
che	ちぇ
chi	ち
cho	ちょ
chu	ちゅ
ci	し
co	こ
cu	く
cya	ちゃ
cye	ちぇ
cyi	ちぃ
cyo	ちょ
cyu	ちゅ
da	だ
dd	っd
de	で
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
di	ぢ
do	ど
du	づ
dwa	どぁ
dwe	どぇ
dwi	どぃ
dwo	どぉ
dwu	どぅ
dya	ぢゃ
dye	ぢぇ
dyi	ぢぃ
dyo	ぢょ
dyu	ぢゅ
e	え
fa	ふぁ
fe	ふぇ
ff	っf
fi	ふぃ
fo	ふぉ
fu	ふ
fwa	ふぁ
fwe	ふぇ
fwi	ふぃ
fwo	ふぉ
fwu	ふぅ
fya	ふゃ
fyo	ふょ
fyu	ふゅ
ga	が
ge	げ
gg	っg
gi	ぎ
go	ご
gu	ぐ
gwa	ぐぁ
gwe	ぐぇ
gwi	ぐぃ
gwo	ぐぉ
gwu	ぐぅ
gya	ぎゃ
gye	ぎぇ
gyo	ぎょ
gyu	ぎゅ
ha	は
he	へ
hh	っh
hi	ひ
ho	ほ
hu	ふ
hwa	ふぁ
hwe	ふぇ
hwi	ふぃ
hwo	ふぉ
hya	ひゃ
hye	ひぇ
hyi	ひぃ
hyo	ひょ
hyu	ひゅ
i	い
ja	じゃ
je	じぇ
ji	じ
jj	っj
jo	じょ
ju	じゅ
jya	じゃ
jye	じぇ
jyi	じぃ
jyo	じょ
jyu	じゅ
ka	か
ke	け
ki	き
kk	っk
ko	こ
ku	く
kwa	くぁ
kwe	くぇ
kwi	くぃ
kwo	くぉ
kwu	くぅ
kya	きゃ
kye	きぇ
kyo	きょ
kyu	きゅ
la	ぁ
le	ぇ
li	ぃ
lka	ゕ
lke	ゖ
ll	っl
lo	ぉ
ltsu	っ
ltu	っ
lu	ぅ
lwa	ゎ
lya	ゃ
lyo	ょ
lyu	ゅ
ma	ま
me	め
mi	み
mm	っm
mo	も
mu	む
mya	みゃ
mye	みぇ
myi	みぃ
myo	みょ
myu	みゅ
na	な
ne	ね
ni	に
nn	ん
no	の
nu	ぬ
ny	ny
nya	にゃ
nye	にぇ
nyi	にぃ
nyo	にょ
nyu	にゅ
n{any character}	ん{any character}
n{composition-separator}	ん
o	お
pa	ぱ
pe	ぺ
pi	ぴ
po	ぽ
pp	っp
pu	ぷ
pya	ぴゃ
pye	ぴぇ
pyi	ぴぃ
pyo	ぴょ
pyu	ぴゅ
qa	くぁ
qe	くぇ
qi	くぃ
qo	くぉ
qq	っq
qu	くぅ
qwa	くぁ
qwe	くぇ
qwi	くぃ
qwo	くぉ
qwu	くぅ
ra	ら
re	れ
ri	り
ro	ろ
rr	っr
ru	る
rya	りゃ
rye	りぇ
ryi	りぃ
ryo	りょ
ryu	りゅ
sa	さ
se	せ
sha	しゃ
she	しぇ
shi	し
sho	しょ
shu	しゅ
si	し
so	そ
ss	っs
su	す
swa	すぁ
swe	すぇ
swi	すぃ
swo	すぉ
swu	すぅ
sya	しゃ
sye	しぇ
syo	しょ
syu	しゅ
ta	た
te	て
tha	てゃ
the	てぇ
thi	てぃ
tho	てょ
thu	てゅ
ti	ち
to	と
tsa	つぁ
tse	つぇ
tsi	つぃ
tso	つぉ
tsu	つ
tt	っt
tu	つ
twa	とぁ
twe	とぇ
twi	とぃ
two	とぉ
twu	とぅ
tya	ちゃ
tye	ちぇ
tyi	ちぃ
tyo	ちょ
tyu	ちゅ
u	う
va	ゔぁ
ve	ゔぇ
vi	ゔぃ
vo	ゔぉ
vu	ゔ
vv	っv
wa	わ
we	うぇ
wha	うぁ
whe	うぇ
whi	うぃ
who	うぉ
whu	う
wi	うぃ
wo	を
wu	う
ww	っw
wye	ゑ
wyi	ゐ
xa	ぁ
xe	ぇ
xi	ぃ
xka	ゕ
xke	ゖ
xn	ん
xo	ぉ
xtsu	っ
xtu	っ
xu	ぅ
xwa	ゎ
xx	っx
xya	ゃ
xyo	ょ
xyu	ゅ
ya	や
ye	いぇ
yo	よ
yu	ゆ
yy	っy
za	ざ
ze	ぜ
zh	←
zi	じ
zj	↓
zk	↑
zl	→
zo	ぞ
zu	ず
zya	じゃ
zye	じぇ
zyo	じょ
zyu	じゅ
zz	っz
{composition-separator}
