ta	た
ti	ち
tu	つ
tsu	つ
te	て
to	と
t'	たい
t,	とう
t.	てい
tp	つう
t;	たん
tq	とん
tj	てん
tk	つん
tx	ちん

tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
ty'	ちゃい
ty,	ちょう
ty.	ちぇい
typ	ちゅう
ty;	ちゃん
tyq	ちょん
tyj	ちぇん
tyk	ちゅん
tyx	ちぃん

tna	ちゃ
tni	ちぃ
tnu	ちゅ
tne	ちぇ
tno	ちょ
tn'	ちゃい
tn,	ちょう
tn.	ちぇい
tnp	ちゅう
tn;	ちゃん
tnq	ちょん
tnj	ちぇん
tnk	ちゅん
tnx	ちぃん

tsa	つぁ
tsi	つぃ
tse	つぇ
tso	つぉ
ts'	つぁい
ts,	つぉう
ts.	つぇい
tsp	つう
ts;	つぁん
tsq	つぉん
tsj	つぇん
tsk	つん
tsx	つぃん

tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
th'	てゃい
th,	てょう
th.	てぇい
thp	てゅう
th;	てゃん
thq	てょん
thj	てぇん
thk	てゅん
thx	てぃん

twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
tw'	とぁい
tw,	とぉう
tw.	とぇい
twp	とぅう
tw;	とぁん
twq	とぉん
twj	とぇん
twk	とぅん
twx	とぃん
