a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
kk	っ	k
kha	きゃ
khi	きぃ
khu	きゅ
khe	きぇ
kho	きょ
khk	きゅん
khp	きゅう
khj	きぇん
khq	きょん
khx	きぃん
kh'	きゃい
kh,	きょう
kh.	きぇい
kh;	きゃん
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
kyk	きゅん
kyp	きゅう
kyj	きぇん
kyq	きょん
kyx	きぃん
ky'	きゃい
ky,	きょう
ky.	きぇい
ky;	きゃん
kwa	くぁ
kwi	くぃ
kwu	くぅ
kwe	くぇ
kwo	くぉ
kwk	くぅん
kwp	くぅう
kwj	くぇん
kwq	くぉん
kwx	くぃん
kw'	くぁい
kw,	くぉう
kw.	くぇい
kw;	くぁん
kp	くう
kj	けん
kq	こん
kx	きん
k'	かい
k,	こう
k.	けい
k;	かん
ca	か
ci	き
cu	く
ce	け
co	こ
ck	くん
cc	っ	c
cna	きゃ
cni	きぃ
cnu	きゅ
cne	きぇ
cno	きょ
cnk	きゅん
cnp	きゅう
cnj	きぇん
cnq	きょん
cnx	きぃん
cn'	きゃい
cn,	きょう
cn.	きぇい
cn;	きゃん
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
chk	ちゅん
chp	ちゅう
chj	ちぇん
chq	ちょん
chx	ちん
ch'	ちゃい
ch,	ちょう
ch.	ちぇい
ch;	ちゃん
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
cyk	ちゅう
cyp	ちゅう
cyj	ちぇん
cyq	ちょん
cyx	ちぃん
cy'	ちゃい
cy,	ちょう
cy.	ちぇい
cy;	ちゃん
cwa	くぁ
cwi	くぃ
cwu	くぅ
cwe	くぇ
cwo	くぉ
cwk	くぅん
cwp	くぅう
cwj	くぇん
cwq	くぉん
cwx	くぃん
cw'	くぁい
cw,	くぉう
cw.	くぇい
cw;	くぁん
cp	くう
cj	けん
cq	こん
cx	きん
c'	かい
c,	こう
c.	けい
c;	かん
sa	さ
si	し
su	す
se	せ
so	そ
sk	すん
ss	っ	s
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
shk	しゅん
shp	しゅう
shj	しぇん
shq	しょん
shx	しん
sh'	しゃい
sh,	しょう
sh.	しぇい
sh;	しゃん
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
syk	しゅん
syp	しゅう
syj	しぇん
syq	しょん
syx	しん
sy'	しゃい
sy,	しょう
sy.	しぇい
sy;	しゃん
sp	すう
sj	せん
sq	そん
sx	しん
s'	さい
s,	そう
s.	せい
s;	さん
ta	た
ti	ち
tu	つ
te	て
to	と
tk	つん
tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ
tsk	つん
tsp	つう
tsj	つぇん
tsq	つぉん
tsx	つぃん
ts'	つぁい
ts,	つぉう
ts.	つぇい
ts;	つぁん
tt	っ	t
tna	ちゃ
tni	ちぃ
tnu	ちゅ
tne	ちぇ
tno	ちょ
tnk	ちゅん
tnp	ちゅう
tnj	ちぇん
tnq	ちょん
tnx	ちぃん
tn'	ちゃい
tn,	ちょう
tn.	ちぇい
tn;	ちゃん
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
thk	てゅん
thp	てゅう
thj	てぇん
thq	てょん
thx	てぃん
th'	てゃい
th,	てょう
th.	てぇい
th;	てゃん
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
tyk	ちゅん
typ	ちゅう
tyj	ちぇん
tyq	ちょん
tyx	ちぃん
ty'	ちゃい
ty,	ちょう
ty.	ちぇい
ty;	ちゃん
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
twk	とぅん
twp	とぅう
twj	とぇん
twq	とぉん
twx	とぃん
tw'	とぁい
tw,	とぉう
tw.	とぇい
tw;	とぁん
tp	つう
tj	てん
tq	とん
tx	ちん
t'	たい
t,	とう
t.	てい
t;	たん
n	ん
na	な
ni	に
nu	ぬ
ne	ね
no	の
nk	ぬん
nn	ん
nha	にゃ
nhi	にぃ
nhu	にゅ
nhe	にぇ
nho	にょ
nhk	にゅん
nhp	にゅう
nhj	にぇん
nhq	にょん
nhx	にぃん
nh'	にゃい
nh,	にょう
nh.	にぇい
nh;	にゃん
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
nyk	にゅん
nyp	にゅう
nyj	にぇん
nyq	にょん
nyx	にぃん
ny'	にゃい
ny,	にょう
ny.	にぇい
ny;	にゃん
np	ぬう
nj	ねん
nq	のん
nx	にん
n'	ない
n,	のう
n.	ねい
n;	なん
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hk	ふん
hna	ひゃ
hni	ひぃ
hnu	ひゅ
hne	ひぇ
hno	ひょ
hnk	ひゅん
hnp	ひゅう
hnj	ひぇん
hnq	ひょん
hnx	ひぃん
hn'	ひゃい
hn,	ひょう
hn.	ひぇい
hn;	ひゃん
hh	っ	h
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hyk	ひゅん
hyp	ひゅう
hyj	ひぇん
hyq	ひょん
hyx	ひぃん
hy'	ひゃい
hy,	ひょう
hy.	ひぇい
hy;	ひゃん
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
hwk	ふん
hwj	ふぇん
hwq	ふぉん
hwx	ふぃん
hw'	ふぁい
hw,	ふぉう
hw.	ふぇい
hw;	ふぁん
hp	ふう
hj	へん
hq	ほん
hx	ひん
h'	はい
h,	ほう
h.	へい
h;	はん
ma	ま
mi	み
mu	む
me	め
mo	も
mk	むん
mna	みゃ
mni	みぃ
mnu	みゅ
mne	みぇ
mno	みょ
mnk	みゅん
mnp	みゅう
mnj	みぇん
mnq	みょん
mnx	みぃん
mn'	みゃい
mn,	みょう
mn.	みぇい
mn;	みゃん
mm	っ	m
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
myk	みゅん
myp	みゅう
myj	みぇん
myq	みょん
myx	みぃん
my'	みゃい
my,	みょう
my.	みぇい
my;	みゃん
mp	むう
mj	めん
mq	もん
mx	みん
m'	まい
m,	もう
m.	めい
m;	まん
ya	や
yu	ゆ
ye	いぇ
yo	よ
yk	ゆん
yy	っ	y
yp	ゆう
yj	いぇん
yq	よん
y'	やい
y,	よう
y.	いぇい
y;	やん
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rk	るん
rha	りゃ
rhi	りぃ
rhu	りゅ
rhe	りぇ
rho	りょ
rhk	りゅん
rhp	りゅう
rhj	りぇん
rhq	りょん
rhx	りぃん
rh'	りゃい
rh,	りょう
rh.	りぇい
rh;	りゃん
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
ryk	りゅん
ryp	りゅう
ryj	りぇん
ryq	りょん
ryx	りぃん
ry'	りゃい
ry,	りょう
ry.	りぇい
ry;	りゃん
rr	っ	r
rp	るう
rj	れん
rq	ろん
rx	りん
r'	らい
r,	ろう
r.	れい
r;	らん
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
wk	うん
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
whk	うん
whp	うう
whj	うぇん
whq	うぉん
whx	うぃん
wh'	うぁい
wh,	うぉう
wh.	うぇい
wh;	うぁん
wyi	ゐ
wye	ゑ
ww	っ	w
wp	うう
wj	うぇん
wx	うぃん
w'	わい
w.	うぇい
w;	わん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gk	ぐん
gna	ぎゃ
gni	ぎぃ
gnu	ぎゅ
gne	ぎぇ
gno	ぎょ
gnk	ぎゅん
gnp	ぎゅう
gnj	ぎぇん
gnq	ぎょん
gnx	ぎぃん
gn'	ぎゃい
gn,	ぎょう
gn.	ぎぇい
gn;	ぎゃん
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
gyk	ぎゅん
gyp	ぎゅう
gyj	ぎぇん
gyq	ぎょん
gyx	ぎぃん
gy'	ぎゃい
gy,	ぎょう
gy.	ぎぇい
gy;	ぎゃん
gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ
gwk	ぐぅん
gwp	ぐぅう
gwj	ぐぇん
gwq	ぐぉん
gwx	ぐぃん
gw'	ぐぁい
gw,	ぐぉう
gw.	ぐぇい
gw;	ぐぁん
gg	っ	g
gp	ぐう
gj	げん
gq	ごん
gx	ぎん
g'	がい
g,	ごう
g.	げい
g;	がん
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zk	ずん
zha	じゃ
zhi	じぃ
zhu	じゅ
zhe	じぇ
zho	じょ
zhk	じゅん
zhp	じゅう
zhj	じぇん
zhq	じょん
zhx	じぃん
zh'	じゃい
zh,	じょう
zh.	じぇい
zh;	じゃん
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
zyk	じゅん
zyp	じゅう
zyj	じぇん
zyq	じょん
zyx	じぃん
zy'	じゃい
zy,	じょう
zy.	じぇい
zy;	じゃん
zz	っ	z
zp	ずう
zj	ぜん
zq	ぞん
zx	じん
z'	ざい
z,	ぞう
z.	ぜい
z;	ざん
da	だ
di	ぢ
du	づ
de	で
do	ど
dk	づん
dna	ぢゃ
dni	ぢぃ
dnu	ぢゅ
dne	ぢぇ
dno	ぢょ
dnk	ぢゅん
dnp	ぢゅう
dnj	ぢぇん
dnq	ぢょん
dnx	ぢぃん
dn'	ぢゃい
dn,	ぢょう
dn.	ぢぇい
dn;	ぢゃん
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
dhk	でゅん
dhp	でゅう
dhj	でぇん
dhq	でょん
dhx	でぃん
dh'	でゃい
dh,	でょう
dh.	でぇい
dh;	でゃん
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
dyk	ぢゅん
dyp	ぢゅう
dyj	ぢぇん
dyq	ぢょん
dyx	ぢぃん
dy'	ぢゃい
dy,	ぢょう
dy.	ぢぇい
dy;	ぢゃん
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
dwk	どぅん
dwp	どぅう
dwj	どぇん
dwq	どぉん
dwx	どぃん
dw'	どぁい
dw,	どぉう
dw.	どぇい
dw;	どぁん
dd	っ	d
dp	づう
dj	でん
dq	どん
dx	ぢん
d'	だい
d,	どう
d.	でい
d;	だん
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bk	ぶん
bna	びゃ
bni	びぃ
bnu	びゅ
bne	びぇ
bno	びょ
bnk	びゅん
bnp	びゅう
bnj	びぇん
bnq	びょん
bnx	びぃん
bn'	びゃい
bn,	びょう
bn.	びぇい
bn;	びゃん
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
byk	びゅん
byp	びゅう
byj	びぇん
byq	びょん
byx	びぃん
by'	びゃい
by,	びょう
by.	びぇい
by;	びゃん
bb	っ	b
bp	ぶう
bj	べん
bq	ぼん
bx	びん
b'	ばい
b,	ぼう
b.	べい
b;	ばん
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pk	ぷん
pha	ぴゃ
phi	ぴぃ
phu	ぴゅ
phe	ぴぇ
pho	ぴょ
phk	ぴゅん
php	ぴゅう
phj	ぴぇん
phq	ぴょん
phx	ぴぃん
ph'	ぴゃい
ph,	ぴょう
ph.	ぴぇい
ph;	ぴゃん
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pyk	ぴゅん
pyp	ぴゅう
pyj	ぴぇん
pyq	ぴょん
pyx	ぴぃん
py'	ぴゃい
py,	ぴょう
py.	ぴぇい
py;	ぴゃん
pp	っ	p
pj	ぺん
pq	ぽん
px	ぴん
p'	ぱい
p,	ぽう
p.	ぺい
p;	ぱん
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fk	ふん
fna	ふゃ
fnu	ふゅ
fno	ふょ
fnk	ふゅん
fnp	ふゅう
fnq	ふょん
fn'	ふゃい
fn,	ふょう
fn;	ふゃん
fya	ふゃ
fyu	ふゅ
fyo	ふょ
fyk	ふゅん
fyp	ふゅう
fyq	ふょん
fy'	ふゃい
fy,	ふょう
fy;	ふゃん
fp	ふう
ff	っ	f
fj	ふぇん
fq	ふぉん
fx	ふぃん
f'	ふぁい
f,	ふぉう
f.	ふぇい
f;	ふぁん
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jk	じゅん
jha	じゃ
jhi	じぃ
jhu	じゅ
jhe	じぇ
jho	じょ
jhk	じゅん
jhp	じゅう
jhj	じぇん
jhq	じょん
jhx	じぃん
jh'	じゃい
jh,	じょう
jh.	じぇい
jh;	じゃん
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
jyk	じゅん
jyp	じゅう
jyj	じぇん
jyq	じょん
jyx	じぃん
jy'	じゃい
jy,	じょう
jy.	じぇい
jy;	じゃん
jp	じゅう
jj	っ	j
jq	じょん
jx	じん
j'	じゃい
j,	じょう
j.	じぇい
j;	じゃん
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
vk	ゔん
vha	ゔゃ
vhi	ゔぃ
vhu	ゔゅ
vhe	ゔぇ
vho	ゔょ
vhk	ゔゅん
vhp	ゔゅう
vhj	ゔぇん
vhq	ゔょん
vhx	ゔぃん
vh'	ゔぁい
vh,	ゔょう
vh.	ゔぇい
vh;	ゔゃん
vya	ゔゃ
vyi	ゔぃ
vyu	ゔゅ
vye	ゔぇ
vyo	ゔょ
vyk	ゔゅん
vyp	ゔゅう
vyj	ゔぇん
vyq	ゔょん
vyx	ゔぃん
vy'	ゔぁい
vy,	ゔょう
vy.	ゔぇい
vy;	ゔゃん
vp	ゔう
vj	ゔぇん
vv	っ	v
vq	ゔぉん
vx	ゔぃん
v'	ゔぁい
v,	ゔぉう
v.	ゔぇい
v;	ゔぁん
qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ
qk	くん
qp	くう
qj	くぇん
qq	っ	q
qx	くぃん
q'	くぁい
q,	くぉう
q.	くぇい
q;	くぁん
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lk	ぅん
lka	ヵ
lke	ヶ
lca	ヵ
lce	ヶ
ltu	っ
ltsu	っ
ln	ん
lha	ゃ
lhi	ぃ
lhu	ゅ
lhe	ぇ
lho	ょ
lhk	ゅん
lhp	ょう
lhj	ぇん
lhq	ょん
lhx	ぃん
lh'	ゃい
lh,	ょう
lh.	ぇう
lh;	ゃん
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
lyk	ゅん
lyp	ょう
lyj	ぇん
lyq	ょん
lyx	ぃん
ly'	ゃい
ly,	ょう
ly.	ぇう
ly;	ゃん
lwa	ゎ
lp	ぅう
lj	ぇん
lq	ぉん
ll	っ	l
lx	ぃん
l'	ぁい
l,	ぉう
l.	ぇい
l;	ぁん
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
xk	ぅん
xka	ヵ
xke	ヶ
xca	ヵ
xce	ヶ
xtu	っ
xtsu	っ
xn	ん
xha	ゃ
xhi	ぃ
xhu	ゅ
xhe	ぇ
xho	ょ
xhk	ゅん
xhp	ょう
xhj	ぇん
xhq	ょん
xhx	ぃん
xh'	ゃい
xh,	ょう
xh.	ぇう
xh;	ゃん
xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ
xyk	ゅん
xyp	ょう
xyj	ぇん
xyq	ょん
xyx	ぃん
xy'	ゃい
xy,	ょう
xy.	ぇう
xy;	ゃん
xwa	ゎ
xp	ぅう
xj	ぇん
xq	ぉん
xx	っ	x
x'	ぁい
x,	ぉう
x.	ぇい
x;	ぁん
-	ー
~	〜
.	。
,	、
[	「
]	」
;k	↑
;h	←
;j	↓
;l	→
;/	・
;.	…
;,	‥
;-	〜
;[	『
;]	』
